id,direccion,tipo,uso,superficie,ano_construccion,categoria,potencialadquisicion,noticiastate,responsable,encargostate,coordinates,zona,date_time,inmuebleimages,location,habitaciones,garaje,descripcion,ascensor,banyos,trastero,jardin,terraza,aireacondicionado,tipoagrupacion,nestedinmuebles,nestedescaleras,localizado,localizado_phone
2,CL PELAYO 1 Es:1  Pl:01  Pt:01,Urbano,Residencial,115,1950,Propietario,0,false,NULL,false,"[""39.3976743697085"",""39.4003723302915"",""-0.4060899802915021"",""-0.403392019708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
3,AV CAMI REIAL 91 Es:1 Pl:01 Pt:01,Urbano,Almacén-Estacionamiento,45,2007,Inquilino,0,false,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
4,AV CAMI REIAL 91 Es:1 Pl:02 Pt:01,Urbano,Almacén-Estacionamiento,65,2007,NULL,0,true,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
5,AV CAMI REIAL 91 Es:1 Pl:03 Pt:01,Urbano,Almacén-Estacionamiento,65,2007,Inquilino,1,false,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
6,AV CAMI REIAL 91 Es:1 Pl:04 Pt:01,Urbano,Residencial,136,2007,Inquilino,1,true,Jaime Alcon,true,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,3,true,"Fantástica vivienda muy amplia y luminosa en pleno corazón de Sedaví.  La casa es una auténtica pasada. Actualmente consta de 8 habitaciones, 3 salones, 3 cocinas, 4 cuartos de baño, un garaje muy amplio, varios recibidores y vestíbulos y 4 terrazas, de 75m2, 15m2, 10m2 y 7m2.  Da a dos fachadas de 15 y 8 metros más a 3 de las terrazas con lo que tiene mucha luz todo el día con orientación este y oeste. Se trata de dos viviendas unidas donde antes probablemente fueran 3 ya que hay hasta 4 accesos diferentes contando el garaje. La parte más grande y noble de la vivienda es una maravilla, todo reformado, con espacios muy amplios en todas las estancias, suelos de mármol, todo con madera de mobila, techos altos, molduras antiguas, una escalera que es espectacular, acceso a dos patios… El otro lado de la vivienda, el que da a la calle 25 de Abril está dividida en dos zonas, otra reformada que",false,0,false,false,false,true,1,,,false,
7,AV CAMI REIAL 91 Es:1 Pl:00 Pt:01,Urbano,Comercial,53,2007,Inquilino,0,true,Jaime Alcon,false,"[""39.3995368697085"",""39.4022348302915"",""-0.405537180291502"",""-0.402839219708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
8,PZ MAYOR 1 Pl:01  Pt:01,Urbano,Residencial,66,1992,Propietario,1,true,Jaime Alcon,false,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,"Hola esto es la descripción ",true,2,true,false,true,true,1,,,false,
9,PZ MAYOR 1 Pl:01  Pt:02,Urbano,Residencial,72,1992,Inquilino,1,true,Jaime Alcon,false,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10,PZ MAYOR 1 Pl:02  Pt:03,Urbano,Residencial,123,1992,Vacio,0,true,Jaime Alcon,true,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
11,PZ MAYOR 1 Pl:02  Pt:04,Urbano,Residencial,114,1992,Inquilino,0,false,Jaime Alcon,false,"[""39.40170996970851"",""39.4044079302915"",""-0.4054165802915021"",""-0.402718619708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
12,PZ MAYOR 2 Pl:01  Pt:01,Urbano,Residencial,95,1992,Inquilino,1,false,Jaime Alcon,false,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
13,PZ MAYOR 2 Pl:01 Pt:02,Urbano,Residencial,91,1992,NULL,0,false,Jaime Alcon,false,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
14,PZ MAYOR 2 Pl:02  Pt:03,Urbano,Residencial,169,1992,NULL,0,false,Jaime Alcon,false,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
15,PZ MAYOR 2 Pl:02  Pt:04,Urbano,Residencial,161,1992,Propietario,1,true,Jaime Alcon,true,"[""39.4017436197085"",""39.4044415802915"",""-0.405489930291502"",""-0.402791969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
16,PZ MAYOR 3 Pl:B0  Pt:01,Urbano,Almacén-Estacionamiento,102,1992,NULL,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
17,PZ MAYOR 3 Pl:B0  Pt:02,Urbano,Comercial,31,1992,Vacio,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
18,PZ MAYOR 3 Pl:01  Pt:01,Urbano,Residencial,77,1992,Propietario,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
19,PZ MAYOR 3 Pl:01  Pt:02,Urbano,Residencial,83,1992,Propietario,1,true,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
20,PZ MAYOR 3 Pl:02  Pt:03,Urbano,Residencial,128,1992,Inquilino,0,true,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
21,PZ MAYOR 3 Pl:02  Pt:04,Urbano,Residencial,147,1992,NULL,0,false,Jaime Alcon,false,"[""39.4023077197085"",""39.4050056802915"",""-0.405852730291502"",""-0.403154769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
22,PZ MAYOR 5 Pl:B0  Pt:06,Urbano,Almacén-Estacionamiento,137,1992,NULL,0,false,Jaime Alcon,false,"[""39.40142811970851"",""39.4041260802915"",""-0.405811180291502"",""-0.4031132197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
